date	year	month	eR_Market
2010-09	2010	09	.09111089
2010-10	2010	10	.03806247
2010-11	2010	11	.00598148
2010-12	2010	12	.06596861
2011-01	2011	01	.01989869
2011-02	2011	02	.03430143
2011-03	2011	03	.00478804
2011-04	2011	04	.02858746
2011-05	2011	05	-.01278133
2011-06	2011	06	-.01765494
2011-07	2011	07	-.02367813
2011-08	2011	08	-.06186902
2011-09	2011	09	-.07904321
2011-10	2011	10	.1074184
2011-11	2011	11	-.00260339
2011-12	2011	12	.00737275
2012-01	2012	01	.04936143
2012-02	2012	02	.0433468
2012-03	2012	03	.03062619
2012-04	2012	04	-.00843548
2012-05	2012	05	-.06399872
2012-06	2012	06	.0380662
2012-07	2012	07	.00786896
2012-08	2012	08	.02527531
2012-09	2012	09	.02702867
2012-10	2012	10	-.01765315
2012-11	2012	11	.00766974
2012-12	2012	12	.01172976
2013-01	2013	01	.05429877
2013-02	2013	02	.01271877
2013-03	2013	03	.03950914
2013-04	2013	04	.01547957
2013-05	2013	05	.02771244
2013-06	2013	06	-.0121738
2013-07	2013	07	
2013-08	2013	08	
2013-09	2013	09	
2013-10	2013	10	
2013-11	2013	11	
2013-12	2013	12	
2014-01	2014	01	
2014-02	2014	02	
2014-03	2014	03	
2014-04	2014	04	
2014-05	2014	05	
2014-06	2014	06	
